Week Number,FOODS_1_161,FOODS_1_218
1,4,10
2,0,3
3,0,4
4,0,0
5,0,0
6,0,0
7,0,1
8,1,4
9,1,2
10,0,0
11,2,0
12,1,4
13,2,0
14,3,2
15,1,0
16,0,0
17,2,1
18,0,3
19,0,2
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,12,0
29,6,0
30,1,0
31,2,0
32,1,26
33,2,14
34,1,24
35,3,16
36,4,18
37,0,15
38,0,6
39,0,2
40,0,3
41,0,2
42,0,2
43,1,6
44,0,4
45,0,2
46,0,3
47,0,0
48,0,0
49,0,12
50,0,2
51,0,2
52,0,0
53,17,2
54,1,0
55,3,0
56,3,0
57,8,1
58,0,0
59,0,0
60,2,0
61,2,0
62,2,0
63,0,0
64,1,0
65,3,0
66,0,0
67,0,0
68,2,0
69,1,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,3,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,23
96,0,6
97,0,10
98,0,10
99,0,7
100,0,8
101,0,19
102,0,4
103,0,1
104,0,7
105,1,4
106,2,8
107,0,2
108,2,4
109,7,0
110,0,3
111,0,0
112,6,5
113,5,3
114,1,2
115,0,0
116,4,1
117,1,0
118,1,0
119,1,0
120,3,0
121,7,0
122,2,4
123,4,6
124,3,4
125,3,10
126,8,20
127,6,19
128,3,12
129,2,7
130,6,2
131,0,1
132,0,0
133,0,0
134,8,6
135,3,8
136,2,7
137,4,7
138,1,4
139,0,3
140,4,6
141,1,9
142,4,10
143,1,5
144,3,17
145,3,15
146,5,21
147,6,22
148,6,21
149,2,18
150,1,24
151,8,8
152,1,14
153,4,13
154,3,16
155,15,17
156,12,11
157,7,9
158,6,17
159,6,10
160,2,12
161,2,11
162,8,14
163,3,27
164,3,4
165,4,11
166,3,10
167,3,17
168,9,6
169,2,33
170,6,14
171,1,5
172,9,15
173,15,8
174,15,8
175,12,5
176,27,15
177,7,9
178,3,2
179,5,13
180,6,15
181,9,16
182,4,7
183,2,10
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,26,25
192,13,10
